Transaction ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request
5d482353-6973-4d6f-b34b,1/3/2024,7:44 PM,Station,Credit Card,None,Standard,Advance,?3.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,5:45 PM,6:15 PM,7:09 PM,Delayed,Weather Conditions,No
e3a7dd48-13b9-4c8e-ae30,1/3/2024,9:35 PM,Online,Credit Card,None,First Class,Advance,?52.00,London Euston,Birmingham New Street,1/4/2024,8:00 PM,9:20 PM,No Delay,Cancelled,Staff Shortage,Yes
d357d17a-c1a0-41fd-9d54,1/4/2024,12:44 AM,Online,Credit Card,None,Standard,Off-Peak,?53.00,London Kings Cross,York,1/4/2024,2:00 AM,3:50 AM,No Delay,Cancelled,Staffing,No
57d38dca-35dd-44b2-886a,1/4/2024,1:41 AM,Online,Credit Card,Senior,Standard,Advance,?2.00,Liverpool Lime Street,Manchester Piccadilly,1/5/2024,12:00 AM,12:30 AM,No Delay,Cancelled,Staffing,No
e58486c3-13cf-4f48-9c50,1/4/2024,1:43 AM,Online,Credit Card,Senior,Standard,Advance,?2.00,Liverpool Lime Street,Manchester Piccadilly,1/5/2024,12:00 AM,12:30 AM,No Delay,Cancelled,Staffing,No
fb892014-7591-49aa-bcde,1/4/2024,1:55 AM,Online,Contactless,None,Standard,Off-Peak,?4.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,3:15 AM,3:45 AM,No Delay,Cancelled,Traffic,Yes
cd94e4c0-c412-4f5c-80ff,1/4/2024,5:10 AM,Online,Debit Card,None,Standard,Anytime,?143.00,London Euston,Manchester Piccadilly,1/4/2024,6:30 AM,8:20 AM,No Delay,Cancelled,Weather,No
ce4a1809-54b2-47fe-a399,1/4/2024,6:02 AM,Online,Credit Card,None,Standard,Anytime,?70.00,London Kings Cross,York,1/4/2024,7:30 AM,9:20 AM,No Delay,Cancelled,Signal failure,No
03c5936a-3980-420f-a0fe,1/4/2024,6:08 AM,Online,Credit Card,None,Standard,Anytime,?70.00,London Kings Cross,York,1/4/2024,7:30 AM,9:20 AM,No Delay,Cancelled,Signal failure,No
8ea439a1-675f-424b-8c7a,1/4/2024,6:33 AM,Station,Credit Card,None,First Class,Anytime,?235.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
092e5598-08de-42f5-b6b2,1/4/2024,6:35 AM,Station,Credit Card,None,First Class,Anytime,?267.00,Manchester Piccadilly,London Euston,1/4/2024,8:00 AM,9:50 AM,10:23 AM,Delayed,Weather,No
7f619028-4fb7-4694-812a,1/4/2024,6:44 AM,Station,Credit Card,None,Standard,Anytime,?151.00,Liverpool Lime Street,London Euston,1/4/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Weather,No
23b58830-a17e-4874-96e0,1/4/2024,9:59 AM,Online,Credit Card,Adult,Standard,Off-Peak,?3.00,Liverpool Lime Street,Manchester Piccadilly,1/4/2024,11:15 AM,11:45 AM,No Delay,Cancelled,Technical Issue,No
b868f799-1e80-40cc-a93c,1/4/2024,10:45 AM,Station,Debit Card,Adult,Standard,Off-Peak,?3.00,Liverpool Lime Street,Manchester Piccadilly,1/4/2024,11:15 AM,11:45 AM,No Delay,Cancelled,Technical Issue,Yes
9e53e14b-111d-4278-9634,1/4/2024,3:14 PM,Online,Contactless,None,Standard,Anytime,?5.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,4:30 PM,5:00 PM,No Delay,Cancelled,Weather Conditions,No
b74b4ef8-03ed-4810-a651,1/4/2024,4:01 PM,Station,Credit Card,None,Standard,Anytime,?5.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,5:45 PM,6:15 PM,7:09 PM,Delayed,Weather Conditions,No
5fb59a28-a020-4407-8d1c,1/4/2024,4:03 PM,Station,Credit Card,None,Standard,Anytime,?5.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,5:45 PM,6:15 PM,7:09 PM,Delayed,Weather Conditions,No
acce0dec-8719-4184-a1d6,1/4/2024,4:03 PM,Station,Credit Card,None,Standard,Anytime,?5.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,5:45 PM,6:15 PM,7:09 PM,Delayed,Weather Conditions,No
f49e4734-5462-4c4c-aaf2,1/4/2024,4:04 PM,Station,Credit Card,None,Standard,Anytime,?5.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,5:45 PM,6:15 PM,7:09 PM,Delayed,Weather Conditions,No
0ca5fce2-fdc2-4cfb-ab14,1/4/2024,4:06 PM,Station,Credit Card,None,Standard,Anytime,?5.00,Manchester Piccadilly,Liverpool Lime Street,1/4/2024,5:45 PM,6:15 PM,7:09 PM,Delayed,Weather Conditions,No
b64c4eaf-b432-4365-a342,1/4/2024,8:28 PM,Online,Credit Card,None,Standard,Advance,?5.00,Birmingham New Street,Tamworth,1/5/2024,6:45 PM,7:05 PM,No Delay,Cancelled,Staff Shortage,No
689c1d86-f098-41f2-a4fe,1/4/2024,10:39 PM,Online,Credit Card,Senior,Standard,Advance,?2.00,Liverpool Lime Street,Manchester Piccadilly,1/5/2024,12:00 AM,12:30 AM,No Delay,Cancelled,Staffing,No
f5aac012-0c55-4db6-b96b,1/5/2024,12:05 AM,Online,Contactless,Disabled,Standard,Off-Peak,?3.00,Liverpool Lime Street,Manchester Piccadilly,1/5/2024,1:30 AM,2:00 AM,No Delay,Cancelled,Weather,Yes
9c0e6771-e646-41dd-9e3c,1/5/2024,12:13 AM,Online,Contactless,Disabled,Standard,Off-Peak,?3.00,Liverpool Lime Street,Manchester Piccadilly,1/5/2024,1:30 AM,2:00 AM,No Delay,Cancelled,Weather,No
3a28a020-8f50-4de4-81e6,1/5/2024,7:50 AM,Online,Credit Card,None,Standard,Advance,?7.00,London Euston,Birmingham New Street,1/6/2024,6:15 AM,7:35 AM,No Delay,Cancelled,Signal failure,Yes
a200d02a-37d3-4fd1-ae68,1/5/2024,7:57 AM,Online,Credit Card,None,Standard,Advance,?35.00,London Kings Cross,York,1/6/2024,6:15 AM,8:05 AM,No Delay,Cancelled,Traffic,Yes
d2e5b43f-5d78-4fb0-9bf2,1/5/2024,9:30 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/6/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Signal Failure,No
c97ea326-6a04-441c-9eb2,1/5/2024,9:32 AM,Station,Credit Card,None,First Class,Advance,?134.00,Manchester Piccadilly,London Euston,1/6/2024,8:00 AM,9:50 AM,10:30 AM,Delayed,Weather,No
beb2d85a-5b48-47be-9ff8,1/5/2024,9:34 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/6/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Signal Failure,No
5e5da2be-c8f8-4aa2-a74c,1/5/2024,9:36 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/6/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Signal Failure,Yes
4e326dd2-6b67-46ee-902d,1/5/2024,9:40 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/6/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Signal Failure,No
c662cd9f-eec4-456c-bc87,1/5/2024,12:07 PM,Station,Credit Card,Disabled,First Class,Advance,?7.00,Liverpool Lime Street,Manchester Piccadilly,1/6/2024,10:30 AM,11:00 AM,No Delay,Cancelled,Staffing,Yes
c4c4e342-a68c-427a-bee5,1/5/2024,5:19 PM,Online,Credit Card,None,Standard,Anytime,?10.00,Birmingham New Street,Tamworth,1/5/2024,6:45 PM,7:05 PM,No Delay,Cancelled,Staff Shortage,No
1041d7c8-9585-4ba1-a647,1/5/2024,5:20 PM,Online,Credit Card,None,Standard,Anytime,?10.00,Birmingham New Street,Tamworth,1/5/2024,6:45 PM,7:05 PM,No Delay,Cancelled,Staff Shortage,Yes
8d5971af-19ee-4c49-ba54,1/5/2024,9:49 PM,Online,Contactless,None,Standard,Advance,?8.00,London St Pancras,Birmingham New Street,1/6/2024,8:15 PM,9:35 PM,No Delay,Cancelled,Staffing,Yes
c9b8df1c-9e54-46b1-9531,1/6/2024,4:48 AM,Online,Credit Card,None,Standard,Off-Peak,?53.00,London Kings Cross,York,1/6/2024,6:15 AM,8:05 AM,No Delay,Cancelled,Traffic,No
a20f714d-d7cb-4258-989e,1/6/2024,4:48 AM,Station,Contactless,None,Standard,Off-Peak,?53.00,London Kings Cross,York,1/6/2024,6:15 AM,8:05 AM,No Delay,Cancelled,Traffic,No
a395df95-e2d3-4303-b508,1/6/2024,4:56 AM,Online,Credit Card,None,Standard,Off-Peak,?53.00,London Kings Cross,York,1/6/2024,6:15 AM,8:05 AM,No Delay,Cancelled,Traffic,No
5895fe56-b5ba-4273-a136,1/6/2024,6:03 AM,Online,Credit Card,None,Standard,Advance,?86.00,Manchester Piccadilly,London Paddington,1/7/2024,4:30 AM,6:45 AM,No Delay,Cancelled,Signal Failure,Yes
6750590b-423c-48a6-a1cc,1/6/2024,6:31 AM,Station,Credit Card,None,Standard,Off-Peak,?113.00,Liverpool Lime Street,London Euston,1/6/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Signal Failure,No
ed6ee6c4-c8d9-471c-b678,1/6/2024,6:37 AM,Station,Credit Card,None,Standard,Off-Peak,?113.00,Liverpool Lime Street,London Euston,1/6/2024,8:00 AM,10:15 AM,No Delay,Cancelled,Signal Failure,No
ba6a0de7-8af1-4d73-b0b4,1/6/2024,7:57 AM,Online,Debit Card,Senior,Standard,Advance,?8.00,London Paddington,Reading,1/7/2024,6:15 AM,7:15 AM,No Delay,Cancelled,Staffing,Yes
5ae77751-065c-423b-b440,1/6/2024,8:01 AM,Station,Credit Card,None,Standard,Advance,?7.00,London Euston,Birmingham New Street,1/7/2024,6:30 AM,7:50 AM,No Delay,Cancelled,Signal failure,No
b8ea5f9a-ea98-42cf-94c7,1/6/2024,9:03 AM,Online,Credit Card,None,Standard,Advance,?9.00,Reading,Swindon,1/7/2024,7:30 AM,8:15 AM,No Delay,Cancelled,Staff Shortage,Yes
da9048e7-b3c4-454f-a970,1/6/2024,9:03 AM,Online,Credit Card,None,Standard,Advance,?9.00,Reading,Swindon,1/7/2024,7:30 AM,8:15 AM,No Delay,Cancelled,Staff Shortage,No
9e6e6878-ad6f-4293-abd3,1/6/2024,9:32 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/7/2024,8:00 AM,10:15 AM,11:11 AM,Delayed,Weather,No
cfc64677-5349-4602-ad34,1/6/2024,9:34 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/7/2024,8:00 AM,10:15 AM,11:11 AM,Delayed,Weather,No
2c439aba-f953-4e91-ae89,1/6/2024,9:38 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/7/2024,8:00 AM,10:15 AM,11:11 AM,Delayed,Weather,No
72fa81a6-e0b4-411e-8971,1/6/2024,9:40 AM,Station,Credit Card,None,Standard,Advance,?76.00,Liverpool Lime Street,London Euston,1/7/2024,8:00 AM,10:15 AM,11:11 AM,Delayed,Weather,No
8e7b841c-9130-41cd-818d,1/6/2024,2:40 PM,Online,Contactless,None,Standard,Off-Peak,?4.00,Manchester Piccadilly,Liverpool Lime Street,1/6/2024,4:00 PM,4:30 PM,No Delay,Cancelled,Weather Conditions,No
139c179a-8842-4e47-b40f,1/6/2024,5:13 PM,Online,Credit Card,Adult,First Class,Off-Peak,?10.00,Liverpool Lime Street,Manchester Piccadilly,1/6/2024,6:30 PM,7:00 PM,No Delay,Cancelled,Staffing,Yes
45f62505-4a14-423e-96fd,1/6/2024,6:30 PM,Online,Credit Card,None,Standard,Advance,?7.00,London Euston,Birmingham New Street,1/7/2024,5:00 PM,6:20 PM,No Delay,Cancelled,Signal failure,Yes
2482321d-3c15-435d-b80a,1/6/2024,6:30 PM,Online,Credit Card,None,Standard,Advance,?7.00,London Euston,Birmingham New Street,1/7/2024,5:00 PM,6:20 PM,No Delay,Cancelled,Signal failure,No
ce6e7238-4272-4db2-b57b,1/6/2024,6:51 PM,Online,Contactless,Disabled,Standard,Advance,?8.00,London Paddington,Reading,1/7/2024,5:15 PM,6:15 PM,No Delay,Cancelled,Weather Conditions,No
f6cd33a8-3e3f-4dc4-b56b,1/7/2024,2:14 AM,Station,Credit Card,None,Standard,Off-Peak,?126.00,Manchester Piccadilly,London Euston,1/7/2024,3:30 AM,5:20 AM,6:08 AM,Delayed,Weather Conditions,No
e1cb621e-13e2-4982-b044,1/7/2024,4:58 AM,Online,Debit Card,Senior,Standard,Off-Peak,?13.00,London Paddington,Reading,1/7/2024,6:15 AM,7:15 AM,No Delay,Cancelled,Staffing,No
